Nama_Rumah_Sakit,Long,Lat,Total_Kamar,Sisa_Kamar,Total_Dokter,Dokter_Siaga
FKG Universitas Trisakti,106.7673,-6.1676,2,0,2,1
Jakarta Eye Center Kedoya,106.72639,-6.18333,17,6,31,14
Muhammadiyah Taman Puring,106.8135,-6.266,59,57,43,11
Gandaria,106.8046,-6.2428,40,15,69,3
Kartini,106.7868,-6.2487,41,0,68,28
Yadika Kebayoran Lama,106.7868,-6.2487,31,26,40,17
Petukangan,106.7469662,-6.2362981,22,4,14,12
Pondok Indah - Pondok Indah,106.78158186276217,-6.283373015759504,176,26,217,94
Setia Mitra,106.78393,-6.29755,42,10,82,57
Siloam TB Simatupang,106.8135,-6.266,92,68,82,44
Mayapada,106.78393,-6.29755,95,47,182,4
Prikasih,106.78393,-6.29755,115,86,106,12
Siaga Raya,106.8378,-6.2936,40,30,21,0
Aulia,106.8135,-6.266,55,51,94,91
Ali Sibroh Malisi,106.8214,-6.3341,55,13,61,2
Andhika,106.8214,-6.3341,72,13,41,33
Zahirah,106.8135,-6.266,109,72,186,156
Jakarta Medical Center,106.8135,-6.266,51,28,91,74
Siloam Asri,106.8422342,-6.2535358,47,4,80,9
Tria Dipa,106.8499,-6.2342,58,31,71,2
Tebet,106.8135,-6.266,62,42,71,3
Jakarta,106.8135,-6.266,118,22,172,97
Metropolitan Medical Center,108.48306,-6.97583,126,51,102,19
Medistra,106.8269,-6.2094,157,106,179,74
Agung,106.8135,-6.266,58,46,106,14
Brawijaya,106.8046,-6.2428,43,7,22,21
Asih,106.8046,-6.2428,23,16,30,3
Dharmawangsa ,106.8046,-6.2428,44,5,72,36
Ciranjang,106.8046,-6.2428,20,1,20,15
Panti Nugraha,106.8135,-6.266,63,21,66,66
Avisena,106.8135,-6.266,23,6,12,11
FKG Universitas Prof. DR. Moestopo (B),106.7665339,-6.2580552,3,1,2,1
Nusantara,106.78393,-6.29755,0,0,0,0
Kemang,106.8135,-6.266,42,39,34,9
Sofa Marwa  (Tidak Operasional),106.8214,-6.3341,24,10,27,3
Duren Tiga,106.8273466,-6.2542228,25,19,50,16
AINI Prof. DR. Isak Salim,106.8269,-6.2094,24,13,22,1
MRCCC Siloam Semanggi,106.8135,-6.266,156,146,302,106
Budhi Jaya,106.8135,-6.266,37,34,35,28
Halimun,106.8135,-6.266,13,13,7,0
Columbia Asia Pulomas,106.89109916836831,-6.182168933153823,98,12,158,140
Omni Pulomas,106.884,-6.2521,125,121,79,58
Kartika Pulomas ,106.88028,-6.17972,64,64,69,66
Dharma Nugraha,106.884,-6.2521,84,81,89,20
Mediros,106.884,-6.2521,83,67,86,8
Premier Jatinegara,106.884,-6.2521,202,94,105,56
Hermina Jatinegara,106.884,-6.2521,135,57,117,33
Yadika Pondok Bambu,106.84513,-6.21462,65,50,82,14
dr. Euis,106.84513,-6.21462,41,11,40,37
Sayyidah,106.9249075,-6.2305012,19,14,9,2
Islam Jakarta Pondok Kopi,106.884,-6.2521,167,42,140,136
Restu Kasih,68.26706,24.3539,64,52,117,9
Al-Fauzan,68.26706,24.3539,15,6,15,3
Haji Jakarta,106.8787,-6.2803,99,45,187,51
Harum Sisma Medika,106.884,-6.2521,83,76,108,19
Universitas Kristen Indonesia,106.884,-6.2521,140,104,160,114
Harapan Bunda,106.8778,-6.3274,124,59,146,144
Harapan Jayakarta ,106.9391,-6.1819,59,27,46,1
Rawamangun,106.88028,-6.17972,33,33,44,20
Jantung Jakarta,106.884,-6.2521,45,31,60,57
SMEC,106.884,-6.2521,6,0,7,0
Alvernia Agusta,106.884,-6.2521,17,14,32,10
Bunda Aliyah,106.84513,-6.21462,65,14,128,95
SamMarie Basra,106.84513,-6.21462,15,14,12,3
Islam Klender Jakarta,106.9331011,-6.221381411273796,50,40,72,0
Asta Nugraha,106.91376119852924,-6.2221374605530295,6,0,11,0
El Shama  (Tidak Operasional),106.78667,-6.23444,27,2,35,17
Bina Waluya,106.884,-6.2521,24,17,39,28
Resti Mulya,106.884,-6.2521,27,7,43,2
Dr. Cipto Mangunkusumo,106.8223,-6.1818,772,442,606,234
Fatmawati ,106.8135,-6.266,556,45,1099,748
Persahabatan ,106.884,-6.2521,420,290,466,276
Prof.Sulianti Saroso,106.8823,-6.1339,150,117,102,68
Dharmais,106.79791811497246,-6.186702638195507,388,133,686,434
Harapan Kita,106.79900030365953,-6.184684915752308,222,6,156,117
Dr.Soeharto Heerdjan,106.8065,-6.1969,241,197,292,91
Pusat Otak Nasional,106.884,-6.2521,116,32,134,95
Ketergantungan Obat,106.884,-6.2521,100,57,54,1
DR. Mintohardjo,106.84513,-6.21462,192,82,309,172
Gatot Soebroto,106.8223,-6.1818,499,318,913,22
Bhayangkara Sespimma Polri,106.7763902,-6.2606279,30,9,15,4
Dr. Suyoto  Pusrehab Kemhan,106.8135,-6.266,115,92,206,124
Rumkital Marinir Cilandak,106.8135,-6.266,158,22,178,29
Dik Pusdikkes Kodiklat TNI AD,106.8672839,-6.2736064,46,42,46,2
Bhayangkara Tk.I  R. Said Sukanto,106.884,-6.2521,165,105,206,111
Moh Ridwan Meuraksa,106.8787,-6.2803,131,6,180,144
Pusat Angkatan Udara Dr. Esnawan Antariksa,106.8787,-6.2803,139,67,212,118
Tingkat IV Cijantung Kesdam Jaya,106.884,-6.2521,63,5,66,62
Ladokgi TNI-AL R.E. Martadinata,106.8223,-6.1818,0,0,0,0
TNI - Angkatan Udara,106.8787,-6.2803,23,13,16,4
Pengayoman Cipinang,106.8795,-6.2184,188,163,182,157
Olahraga Nasional,106.888952,-6.3663628,44,17,64,55
Pertamina Jaya,106.87610535487508,-6.173040362910674,53,33,84,84
Pekerja,106.8823,-6.1339,29,1,27,10
Pelabuhan Jakarta,106.8823,-6.1339,130,109,255,51
Pelni,106.7673,-6.1676,460,419,230,135
Pusat Pertamina ,106.8135,-6.266,321,112,206,33
Aneka Tambang Medika (Antam Medika),106.90265928092188,-6.192089187958404,93,29,101,99
Tarakan,106.8223,-6.1818,369,333,594,191
Koja,106.8823,-6.1339,595,157,822,111
Cengkareng,106.72167,-6.14972,205,87,388,273
Pasar Minggu,106.8378,-6.2936,409,93,592,221
Budhi Asih ,68.26706,24.3539,381,310,558,318
Pasar Rebo,106.84513,-6.21462,271,77,416,252
Adhyaksa,106.884,-6.2521,53,3,87,33
Duren Sawit,106.84513,-6.21462,150,108,204,194
Kepulauan Seribu,106.6137136,-5.7457904,10,2,17,4
Tanah Abang,98.9088,3.4819,26,20,41,16
Cempaka Putih,106.8706655,-6.1856221,29,27,38,23
Johar Baru,106.8516678,-6.1812415,30,19,40,14
Kemayoran,106.8648321,-6.1564686,48,41,75,42
Sawah Besar,106.8336,-6.1529,27,1,15,2
Cilincing,106.8823,-6.1339,14,9,23,17
Tugu Koja,106.8823,-6.1339,19,15,29,28
Tanjung Priok,106.8840753,-6.115725,40,27,65,58
Pademangan,106.8366,-6.1369,20,7,24,16
Tamansari,106.8249,-6.1542,24,7,45,40
Kembangan,106.7673,-6.1676,11,9,19,12
Kalideres,106.705,-6.16861,20,1,31,12
Kebayoran Baru,106.8049,-6.2623,36,3,34,10
Kebayoran Lama,106.7868,-6.2487,35,26,47,7
Pesanggrahan,106.8135,-6.266,39,0,25,14
Jatipadang,106.8378,-6.2936,52,3,96,86
Jagakarsa,106.8214,-6.3341,17,6,15,10
Mampang Prapatan,106.84513,-6.21462,29,22,20,20
Tebet,106.8499,-6.2342,9,2,8,6
Matraman,106.8664744,-6.2058275,16,10,10,3
