Nama_Rumah_Sakit,Long,Lat,Total_Kamar,Sisa_Kamar,Total_Dokter,Dokter_Siaga
Kartika Pulomas ,106.88028,-6.17972,64,42,69,66
Dharma Nugraha,106.884,-6.2521,84,3,89,20
Mediros,106.884,-6.2521,83,45,86,8
Premier Jatinegara,106.884,-6.2521,202,38,105,56
Hermina Jatinegara,106.884,-6.2521,135,17,117,33
Yadika Pondok Bambu,106.84513,-6.21462,65,64,82,14
dr. Euis,106.84513,-6.21462,41,25,40,37
Sayyidah,106.9249075,-6.2305012,19,6,9,2
Islam Jakarta Pondok Kopi,106.884,-6.2521,167,84,140,136
Restu Kasih,68.26706,24.3539,64,16,117,9
Al-Fauzan,68.26706,24.3539,15,12,15,3
Haji Jakarta,106.8787,-6.2803,99,67,187,51
Harum Sisma Medika,106.884,-6.2521,83,1,108,19
Universitas Kristen Indonesia,106.884,-6.2521,140,55,160,114
Harapan Bunda,106.8778,-6.3274,124,74,146,144
Harapan Jayakarta ,106.9391,-6.1819,59,3,46,1
Rawamangun,106.88028,-6.17972,33,8,44,20
Jantung Jakarta,106.884,-6.2521,45,0,60,57
SMEC,106.884,-6.2521,6,5,7,0
Alvernia Agusta,106.884,-6.2521,17,13,32,10
Bunda Aliyah,106.84513,-6.21462,65,41,128,95
SamMarie Basra,106.84513,-6.21462,15,14,12,3
Islam Klender Jakarta,106.9331011,-6.221381411273796,50,47,72,0
Asta Nugraha,106.91376119852924,-6.2221374605530295,6,3,11,0
El Shama  (Tidak Operasional),106.78667,-6.23444,27,17,35,17
Bina Waluya,106.884,-6.2521,24,22,39,28
Resti Mulya,106.884,-6.2521,27,18,43,2
Dr. Cipto Mangunkusumo,106.8223,-6.1818,772,580,606,234
Fatmawati ,106.8135,-6.266,556,442,1099,748
Persahabatan ,106.884,-6.2521,420,316,466,276
Prof.Sulianti Saroso,106.8823,-6.1339,150,107,102,68
Dharmais,106.79791811497246,-6.186702638195507,388,214,686,434
Harapan Kita,106.79900030365953,-6.184684915752308,222,67,156,117
Dr.Soeharto Heerdjan,106.8065,-6.1969,241,69,292,91
Pusat Otak Nasional,106.884,-6.2521,116,96,134,95
Ketergantungan Obat,106.884,-6.2521,100,74,54,1
DR. Mintohardjo,106.84513,-6.21462,192,89,309,172
Gatot Soebroto,106.8223,-6.1818,499,468,913,22
Bhayangkara Sespimma Polri,106.7763902,-6.2606279,30,23,15,4
Dr. Suyoto  Pusrehab Kemhan,106.8135,-6.266,115,26,206,124
Rumkital Marinir Cilandak,106.8135,-6.266,158,54,178,29
Dik Pusdikkes Kodiklat TNI AD,106.8672839,-6.2736064,46,17,46,2
Bhayangkara Tk.I  R. Said Sukanto,106.884,-6.2521,165,115,206,111
Moh Ridwan Meuraksa,106.8787,-6.2803,131,107,180,144
Pusat Angkatan Udara Dr. Esnawan Antariksa,106.8787,-6.2803,139,122,212,118
Tingkat IV Cijantung Kesdam Jaya,106.884,-6.2521,63,43,66,62
Ladokgi TNI-AL R.E. Martadinata,106.8223,-6.1818,0,0,0,0
TNI - Angkatan Udara,106.8787,-6.2803,23,13,16,4
Pengayoman Cipinang,106.8795,-6.2184,188,62,182,157
Olahraga Nasional,106.888952,-6.3663628,44,36,64,55
Pertamina Jaya,106.87610535487508,-6.173040362910674,53,53,84,84
Pekerja,106.8823,-6.1339,29,19,27,10
Pelabuhan Jakarta,106.8823,-6.1339,130,45,255,51
Pelni,106.7673,-6.1676,460,101,230,135
Pusat Pertamina ,106.8135,-6.266,321,17,206,33
Aneka Tambang Medika (Antam Medika),106.90265928092188,-6.192089187958404,93,85,101,99
Tarakan,106.8223,-6.1818,369,14,594,191
Koja,106.8823,-6.1339,595,82,822,111
Cengkareng,106.72167,-6.14972,205,5,388,273
Pasar Minggu,106.8378,-6.2936,409,81,592,221
Budhi Asih ,68.26706,24.3539,381,353,558,318
Pasar Rebo,106.84513,-6.21462,271,169,416,252
Adhyaksa,106.884,-6.2521,53,12,87,33
Duren Sawit,106.84513,-6.21462,150,90,204,194
Kepulauan Seribu,106.6137136,-5.7457904,10,8,17,4
Tanah Abang,98.9088,3.4819,26,7,41,16
Cempaka Putih,106.8706655,-6.1856221,29,25,38,23
Johar Baru,106.8516678,-6.1812415,30,20,40,14
Kemayoran,106.8648321,-6.1564686,48,37,75,42
Sawah Besar,106.8336,-6.1529,27,27,15,2
Cilincing,106.8823,-6.1339,14,12,23,17
Tugu Koja,106.8823,-6.1339,19,3,29,28
Tanjung Priok,106.8840753,-6.115725,40,1,65,58
Pademangan,106.8366,-6.1369,20,10,24,16
Tamansari,106.8249,-6.1542,24,0,45,40
Kembangan,106.7673,-6.1676,11,1,19,12
Kalideres,106.705,-6.16861,20,20,31,12
Kebayoran Baru,106.8049,-6.2623,36,16,34,10
Kebayoran Lama,106.7868,-6.2487,35,26,47,7
Pesanggrahan,106.8135,-6.266,39,32,25,14
Jatipadang,106.8378,-6.2936,52,10,96,86
Jagakarsa,106.8214,-6.3341,17,2,15,10
Mampang Prapatan,106.84513,-6.21462,29,10,20,20
Tebet,106.8499,-6.2342,9,6,8,6
Matraman,106.8664744,-6.2058275,16,1,10,3
